model_name,n_forecasts,rmse,mae,mape,mean_error,sd_error,sign_match,directional_accuracy,correct_direction,total_direction
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,TRUE,49.621212121212125,262,528
ARIMA,528,0.010004336417488055,0.006551911637505749,6439.492977336016,5.874569583845915e-4,0.009996544630677565,FALSE,49.621212121212125,262,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,FALSE,51.13636363636363,270,528
AR,528,0.01005168595719723,0.006532155210853474,6968.50434942194,5.187017300660226e-4,0.01004781311875593,TRUE,51.13636363636363,270,528
